,,,,,,,,,,,,,,,,,,
Tema,Nombre,Horas,Víctor Mañón,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime López,Jorge Rodríguez,José Aguilera,Luis Guadarrama,Pedro Hernandez,María Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Configuración de equipo de interconexión,15,X,,,,X,,,,,,,,,,,
2,Verificación de la operación de una red,20,X,,,,X,,,,,,,,,,,
3,Seguridad en aplicaciones y redes,25,X,,,,,,,,,,,,X,,,
4,Desarrollo móvil,50,,,X,,,,,,,,,,,,,
5,Calidad en el software,30,,X,,,,,,,X,,,,,,,
6,Soporte a sistemas de software,20,,X,,,,,,,X,,,,,,,
,,160,,,,,,,,,,,,,,,,
